,Tweet,Polarity,Subjectivity
0,"Il 4 marzo per chi voterai? Rispondere SOLO ITALIANI e per favore date più RT possibili, ovvero fate girare questo sondaggio, grazie! #SilenzioElettorale #3marzo #ItalyElection2018 #MaratonaMentana #elezioni2018 #ElezioniPolitiche2018 #elezioni #Italy2018Elecitions",0.0,0.0
1,Andrete a votare domenica #4Marzo2018? In caso siate #indecisi ecco un ripasso dei temi più importanti nei programmi per le #elezioni2018 #voto https://t.co/8aiDlyTbrK,0.0,0.0
2,"Sono stanca della campagna elettorale, ma allo stesso tempo ho paura del risultato delle elezioni https://t.co/z9tggmALzX",0.0,0.0
3,"Come alle elezioni del 2013 ci si appresta a tradire il mandato dato dagli elettori.

Nel 2013 Scelta Civica, partito civetta fatto da “fuoriusciti” #PD che, eletti, sono tornati nel PD.

Nel 2018...

#4marzo 🧟‍♀️🗳🧟‍♂️
#ElezioniPolitiche2018  
#Elezioni2018 https://t.co/ybIZjtNmko",0.0,0.0
4,"Per preparaci interiormente al #voto di domani e alle prossime settimane, è bene tenere a mente queste due massime di saggezza. #4marzo #ElezioniPolitiche #Elezioni #SilenzioElettorale #voto4marzo #votare #elezioni2018 https://t.co/LUzcj7mR9B",-0.125,0.375
5,"Domenica 4 marzo usa il buonsenso: VOTA LEGA!
Mettiamo tutti insieme una croce sul guerriero!
#4marzovotoLega #domenicavotoLega #SalviniPremier #andiamoagovernare 
#ElezioniPolitiche2018 #elezioni #SilenzioElettorale https://t.co/LRSi9d0Mb1",0.0,0.0
6,"Domani si va a votare? Sapete già come farlo? 
Qui tutto ciò che dovete sapere prima di dare la vostra preferenza. https://t.co/lRg0KKZ87R",0.0,0.0
7,"Senza voto disgiunto e per paura di vedersi annullare la scheda, quasi nessuno voterà la preferenza al candidato che desidera.
Il voto di fatto si trasforma in un proporzionale puro, il cui risultato però risulterà falsato dalla quota parte dei collegi uninominali.#elezioni",0.0,0.0
8,"Antifascisti 'marchiati', Giannini: 'Gravissimo, ma la destra politica finge di non vedere' https://t.co/jRHD5rSgi8 via @repubblica",0.0,0.0
9,Il blog di Pigramano sulle elezioni...,0.0,0.0
10,"Elezioni, indagato un candidato Pd in Calabria: “Interruzione del servizio idrico ai cittadini di Lamezia Terme” – 
#LastMinuteinvestigatedPD
😱
https://t.co/3a6aysXbxr",0.0,0.0
11,"Si avvicina il giorno delle #elezioni politiche. Ecco una serie di informazioni utili per arrivare preparati al voto del #4marzo.
Il nostro speciale #SkyElezioni ➡️ https://t.co/AM3HJPAX24 https://t.co/nb2xsEdrwd",0.0,0.0
12,"#Elezioni, le performance social dei partiti  #Elezioni2018 https://t.co/lghwyQk6k3",0.03333333333333333,0.06666666666666667
13,I candidati alle #politiche2018 così come chiedono il voto agli elettori devono garantire che nel caso in cui la #leggeelettorale #rosatellum venga dichiarata incostituzionale si dimetteranno restituendo il #poterealpopolo sovrano #elezioni #28marzo https://t.co/UU6KOSiZpr,0.0,0.0
14,"Dal nostro caro @FMCastaldo

Buongiorno a tutti! 
Ecco un utile promemoria per le elezioni di domani. È un po’ datato, ma sempre estremamente attuale. Buona lettura e buona condivisione!
#PartecipaScegliCambia https://t.co/pgETVxdaEZ",0.0,0.0
15,"Scelgo l'albero della Vita a Expo per ricordare il lavoro di questi anni appassionanti e per immaginare il tanto lavoro ancora da fare. Rappresenta speranza, orgoglio, fiducia, impegno. Per un'Italia più forte e più giusta. Buon voto a tutte e tutti #orgoglioPd #avanti #elezioni https://t.co/yZvtIz5HLn",0.0,0.0
16,"Elezioni: La partita della democrazia si gioca anche con la difesa del voto degli elettori: no ai brogli ed alla confusione. In Campania 5835 sezioni elettorali per circa 20000 difensori del voto, difensori della libertà. #4marzovotoforzaitalia",0.0,0.0
17,"Ecco i 41 candidati che hanno sottoscritto il Decalogo di @AIAB: @potere_alpopolo , @LiberieUguali, @Insieme @Mov5Stelle , @pdnetwork. A tutti un sentito ringraziamento e, oltre agli auguri, l’auspicio di collaborare, qualsiasi sia il risultato politico.
https://t.co/MrWozxzYan",0.0,0.0
18,A Roma boom di autisti scrutatori per le elezioni: l'Atac annuncia la riduzione delle corse di bus e metro https://t.co/iMVK43upua,0.0,0.0
19,"#LazioJuve + #NapoliRoma + #MilanInter + #ElezioniPolitiche2018 +#maratonamentana
Italia x un weekend ombelico del mondo
https://t.co/e64vIKsio7

 #SilenzioElettorale #Italexit 
@Corriere @TgLa7 @repubblica @PaoloTrombin",0.0,0.0
20,Da ricordare di queste elezioni quelli che si proclamano di sinistra e che daranno domani voto alla Bonino che in economia ha un programma simile a quello che attuò la Thatcher per demolire diritti lavoratori e disoccupati. E qualcuno dice pure che Bonino è argine contro fascismo,0.21428571428571427,0.5
21,"Il 4 marzo per chi voterai? Rispondere SOLO ITALIANI e per favore date più RT possibili, ovvero fate girare questo sondaggio, grazie! #SilenzioElettorale #3marzo #ItalyElection2018 #MaratonaMentana #elezioni2018 #ElezioniPolitiche2018 #elezioni #Italy2018Elecitions",0.0,0.0
22,"La giustizia italiana è scandalosa ,fanno uscire il delinquente Corona poco prima delle elezioni in modo da non potersi candidare insieme ai suoi colleghi politici delinquenti pari a lui , per favore rispettiamo chi delinque #IlSabatoItaliano",0.0,0.0
23,@andr900 che malgovernano a Roma anche sotto elezioni Mille autisti atac srcutatori ai seggi e servizio bus non assicurato. Cacciamoli a calci dall'Italia,0.0,0.0
24,"Immigrazione, l'ex generale Santo e il terrificante sospetto: ""Perché si sono fermati gli sbarchi"" - Libero Quotidiano
https://t.co/VO24V2AfMr",0.0,0.0
25,"#GianAntonioStella su @corriere :
""I più abusivi di tutti gli abusivi dell’Italia abusiva, definizione che a Triscina rifiutano sdegnati,assicurano d’aver avuto idea geniale per difendere dalle ruspe le case fuorilegge tirate su entro i 150 m dall'acqua"" 
https://t.co/OTUTd9IQui",0.0,0.0
26,"Brasile: Temer, non eletto e con un indice di approvazione inferiore al 10%, ha deciso di militarizzare Rio per tutto il 2018. Un ritorno alla dittatura? @radio3mondo lunedì, alle 11. https://t.co/6TVmeCnN0O https://t.co/PxiB2DbRY2",0.0,0.0
27,"Berlusconi s'indigna da Mentana e sbotta: ""Ma lei sa chi sono io?"" https://t.co/ff9gNvyMyP via @repubblica",0.0,0.0
28,Elezioni politiche italiane e regionali in Lombardia 2018 - La Città Futura: https://t.co/EcS8hSTigR,0.0,0.0
29,"Connazionali per piacere non facciamo minchiate che qui in Olanda già mi sfottono solo perché Silvio è tornato sulla scena, figuriamoci se vince...
#ElezioniPolitiche2018 #elezioni  #elezioni4marzo #ElezioniPolitiche",0.0,0.0
30,"""Siamo stati censurati fin dall'inizio della campagna elettorale, ci hanno concesso pochissimo spazio per la par condicio, mentre gli altri facevano il bello e il cattivo tempo in TV. Per questo ce ne freghiamo del silenzio elettorale"".
#OraVotoCasaPound 
https://t.co/4E80I3vZt9",0.0,0.0
31,"'Vi stanno prendendo in giro'. Crosetto, mitragliata sul voto: la verità che non vogliono dirci https://t.co/OWSw0mb5OG",0.0,0.0
32,"M5S: ""Ecco gli attacchi di #Tajani al giudice Falcone"".
Sentite cosa diceva l'europarlamentare che tanto piace a Salvini e Berlusconi..
 https://t.co/jawmqBAHKL",0.0,0.0
33,"🆘🆘🆘 Partiti presenti nel collegio uninominale Milano Centro #elezioni Senato:
Forza Italia
Pd
Liberi E Uguali
M5s
Potere Al Popolo
Casapound Italia
Il Popolo Della Famiglia
Italia Agli Italiani
Partito Repubblicano - Ala
Per Una Sinistra Rivoluzionaria",0.0,0.0
34,"Euro, lavoro, chiusura. #Salvini e #DiMaio hanno un unico programma di governo. L’Italia può farne a meno. Buon voto a tutti  https://t.co/dAZFFxG0fI?amp=1",0.0,0.0
35,"Per la prima volta da quando seguo le navi ONG non c'è nemmeno una nave ONG davanti alla Libia. Da un paio di giorni sono tutte nei porti: SOS Med + MSF è in Sicilia, Open Arms a Malta e Sea Watch in Spagna. Qualcuno gli deve aver detto di non sbarcare clandestini sotto elezioni. https://t.co/lVD0hlrDfa",0.0,0.5
36,"Per la prima volta da quando seguo le navi ONG non c'è nemmeno una nave ONG davanti alla Libia. Da un paio di giorni sono tutte nei porti: SOS Med + MSF è in Sicilia, Open Arms a Malta e Sea Watch in Spagna. Qualcuno gli deve aver detto di non sbarcare clandestini sotto elezioni. https://t.co/lVD0hlrDfa",0.0,0.5
