Date,Open,High,Low,Close,Volume
2-Mar-18,1469.10,1501.05,1455.01,1500.25,6587564
1-Mar-18,1513.60,1518.49,1465.00,1493.45,6835230
28-Feb-18,1519.51,1528.70,1512.00,1512.45,4515023
27-Feb-18,1524.50,1526.78,1507.21,1511.98,4808776
26-Feb-18,1509.20,1522.84,1507.00,1521.95,4954988
23-Feb-18,1495.34,1500.00,1486.50,1500.00,4418103
22-Feb-18,1495.36,1502.54,1475.76,1485.34,4858063
21-Feb-18,1485.00,1503.49,1478.92,1482.92,6304351
20-Feb-18,1446.49,1488.77,1446.49,1468.35,6499228
16-Feb-18,1457.37,1465.80,1446.56,1448.69,4472564
15-Feb-18,1466.89,1468.94,1436.84,1461.76,5652736
14-Feb-18,1406.25,1452.06,1403.36,1451.05,5959209
13-Feb-18,1385.93,1419.72,1383.53,1414.51,5917879
12-Feb-18,1364.67,1393.81,1344.01,1386.23,6738944
9-Feb-18,1373.49,1383.50,1265.93,1339.60,14141524
8-Feb-18,1429.68,1433.75,1349.94,1350.50,8578557
7-Feb-18,1449.00,1460.99,1415.15,1416.78,7162741
6-Feb-18,1361.46,1443.99,1351.79,1442.84,11066819
5-Feb-18,1402.62,1458.98,1320.72,1390.00,11494985
2-Feb-18,1477.39,1498.00,1414.00,1429.95,11125722
1-Feb-18,1445.00,1459.88,1385.14,1390.00,9113808
31-Jan-18,1451.30,1472.58,1450.04,1450.89,6424693
30-Jan-18,1403.17,1439.25,1392.00,1437.82,5871942
29-Jan-18,1409.18,1431.39,1400.44,1417.68,5701898
26-Jan-18,1392.01,1402.53,1380.91,1402.05,4857310
25-Jan-18,1368.00,1378.34,1357.62,1377.95,4753012
24-Jan-18,1374.82,1388.16,1338.00,1357.51,6807457
23-Jan-18,1338.09,1364.90,1337.34,1362.54,5169306
22-Jan-18,1297.17,1327.45,1296.66,1327.31,4140061
19-Jan-18,1312.00,1313.00,1292.99,1294.58,4578536
18-Jan-18,1293.95,1304.60,1284.02,1293.32,4026915
17-Jan-18,1312.24,1314.00,1280.88,1295.00,5253754
16-Jan-18,1323.00,1339.94,1292.30,1304.86,7220701
12-Jan-18,1273.39,1305.76,1273.39,1305.20,5443730
11-Jan-18,1259.74,1276.77,1256.46,1276.68,3125048
10-Jan-18,1245.15,1254.33,1237.23,1254.33,2686017
9-Jan-18,1256.90,1259.33,1241.76,1252.70,3661316
8-Jan-18,1236.00,1253.08,1232.03,1246.87,4279475
5-Jan-18,1217.51,1229.14,1210.00,1229.14,3544743
4-Jan-18,1205.00,1215.87,1204.66,1209.59,3022089
3-Jan-18,1188.30,1205.49,1188.30,1204.20,3108793
2-Jan-18,1172.00,1190.00,1170.51,1189.01,2694494
29-Dec-17,1182.35,1184.00,1167.50,1169.47,2688391
28-Dec-17,1189.00,1190.10,1184.38,1186.10,1841676
27-Dec-17,1179.91,1187.29,1175.61,1182.26,1867208
26-Dec-17,1168.36,1178.32,1160.55,1176.76,2005187
22-Dec-17,1172.08,1174.62,1167.83,1168.36,1585054
21-Dec-17,1175.90,1179.17,1167.64,1174.76,2123117
20-Dec-17,1190.50,1191.00,1176.00,1177.62,2371166
